Step   23000 (g21.2+d66.9)s       | [D] min: 0.14       max: 2.23      | [R_te] min: 259.10         max: 553.76         Avg: 402.34 (23.93)      | ent 0.008 | w_noise: [0.01659 0.01810 0.02555 0.06415 0.12845 0.25354 0.33849 0.44161 0.52736 0.64994]
Step   24000 (g21.1+d65.2)s       | [D] min: 0.12       max: 2.37      | [R_te] min: 279.16         max: 477.27         Avg: 379.16 (17.14)      | ent 0.007 | w_noise: [0.01640 0.01791 0.02540 0.06402 0.12820 0.25287 0.33703 0.44063 0.52787 0.64832]
Step   25000 (g21.0+d64.9)s       | [D] min: 0.07       max: 1.89      | [R_te] min: 239.12         max: 740.29         Avg: 430.44 (50.10)      | ent 0.006 | w_noise: [0.01622 0.01773 0.02518 0.06355 0.12757 0.25144 0.33668 0.43899 0.52832 0.64809]
Step   26000 (g21.0+d64.9)s       | [D] min: 0.09       max: 1.45      | [R_te] min: 216.63         max: 295.41         Avg: 249.86 (8.27)       | ent 0.005 | w_noise: [0.01623 0.01772 0.02525 0.06342 0.12789 0.25292 0.33579 0.43944 0.52842 0.64824]
Step   27000 (g20.9+d64.8)s       | [D] min: 0.06       max: 1.84      | [R_te] min: 247.42         max: 360.40         Avg: 276.24 (11.09)      | ent 0.004 | w_noise: [0.01623 0.01776 0.02527 0.06382 0.12801 0.25299 0.33711 0.44021 0.52875 0.64942]
Step   28000 (g21.1+d65.2)s       | [D] min: 0.10       max: 1.95      | [R_te] min: 251.23         max: 280.34         Avg: 267.05 (2.94)       | ent 0.003 | w_noise: [0.01602 0.01766 0.02505 0.06343 0.12703 0.25268 0.33781 0.43984 0.52680 0.64964]
Step   29000 (g21.0+d64.9)s       | [D] min: 0.08       max: 1.44      | [R_te] min: 214.58         max: 440.50         Avg: 277.15 (26.16)      | ent 0.003 | w_noise: [0.01593 0.01753 0.02498 0.06347 0.12711 0.25253 0.33790 0.44149 0.52740 0.64895]
Step   30000 (g21.0+d64.9)s       | [D] min: 0.14       max: 1.90      | [R_te] min: 327.73         max: 568.28         Avg: 461.28 (20.88)      | ent 0.002 | w_noise: [0.01596 0.01752 0.02507 0.06369 0.12767 0.25317 0.33931 0.44260 0.52884 0.65223]
Step   31000 (g20.9+d64.8)s       | [D] min: 0.13       max: 1.93      | [R_te] min: 328.83         max: 435.40         Avg: 377.58 (13.18)      | ent 0.002 | w_noise: [0.01603 0.01760 0.02523 0.06386 0.12850 0.25511 0.33995 0.44498 0.53214 0.65491]
Step   32000 (g21.1+d65.4)s       | [D] min: 0.12       max: 1.90      | [R_te] min: 313.07         max: 495.36         Avg: 379.57 (16.96)      | ent 0.002 | w_noise: [0.01611 0.01772 0.02527 0.06433 0.12954 0.25669 0.34225 0.44648 0.53337 0.65507]
